name,ngpus,TP,PP,EP,CP,DP,sub_seq_length,micro_batch_size,num_of_micro_batches,pipeline_parallelism_bubble_rate,data_parallel_sharding_strategy,total_memory_gb,model_and_optimizer_states_memory_gb,activations_memory_gb,cross_entropy_activation_memory_gb,practice_activations_memory_gb,expert_parameters_m,non_expert_parameters_m,expert_layers_activations_gb,practice_expert_layers_activations_gb,non_expert_layers_activations_gb,mlp_activation_mb,moe_activation_mb,token_imbalance_hypothesis
LLaMA-3.1 405B,8,1,1,1,1,8,8192,1,512.0,0.0,NO_OP,7372.48828125,6803.578125,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,2,256.0,0.0,NO_OP,7941.3984375,6803.578125,1137.8203125,19.5703125,1137.8203125,0.0,387048.0,0.0,0.0,1137.8203125,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,4,128.0,0.0,NO_OP,9079.21875,6803.578125,2275.640625,39.140625,2275.640625,0.0,387048.0,0.0,0.0,2275.640625,11008.0,1024.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,1,512.0,0.0,OPTIMIZER_STATES,3403.734375,2834.82421875,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,2,256.0,0.0,OPTIMIZER_STATES,3972.64453125,2834.82421875,1137.8203125,19.5703125,1137.8203125,0.0,387048.0,0.0,0.0,1137.8203125,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,4,128.0,0.0,OPTIMIZER_STATES,5110.46484375,2834.82421875,2275.640625,39.140625,2275.640625,0.0,387048.0,0.0,0.0,2275.640625,11008.0,1024.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,1,512.0,0.0,OPTIMIZER_STATES_AND_GRADS,2080.81640625,1511.90625,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,2,256.0,0.0,OPTIMIZER_STATES_AND_GRADS,2649.7265625,1511.90625,1137.8203125,19.5703125,1137.8203125,0.0,387048.0,0.0,0.0,1137.8203125,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,4,128.0,0.0,OPTIMIZER_STATES_AND_GRADS,3787.546875,1511.90625,2275.640625,39.140625,2275.640625,0.0,387048.0,0.0,0.0,2275.640625,11008.0,1024.0,1.0
LLaMA-3.1 405B,8,1,1,1,1,8,8192,1,512.0,0.0,FULLY_SHARD,1324.86328125,755.953125,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
